start_local;kwh;read_by;note
2023-03-14T12:15:00+01:00;0.42;human;label overlaps the daily-total box, OCR failed; read by Claude, verified by the meter owner 2026-09-25
2023-04-07T12:15:00+02:00;0.31;human;label overlaps the daily-total box, OCR failed; read by Claude, verified by the meter owner 2026-09-25
2023-04-08T12:15:00+02:00;0.29;human;label overlaps the daily-total box, OCR failed; read by Claude, verified by the meter owner 2026-09-25
2023-04-10T12:15:00+02:00;0.37;human;label overlaps the daily-total box, OCR failed; read by Claude, verified by the meter owner 2026-09-25
2023-04-23T12:15:00+02:00;0.31;human;label overlaps the daily-total box, OCR failed; read by Claude, verified by the meter owner 2026-09-25
2023-05-01T12:15:00+02:00;0.41;human;label overlaps the daily-total box, OCR failed; read by Claude, verified by the meter owner 2026-09-25
2023-05-07T12:15:00+02:00;0.35;human;label overlaps the daily-total box, OCR failed; read by Claude, verified by the meter owner 2026-09-25
2023-06-08T12:15:00+02:00;0.31;human;label overlaps the daily-total box, OCR failed; read by Claude, verified by the meter owner 2026-09-25
2023-06-10T12:15:00+02:00;0.32;human;label overlaps the daily-total box, OCR failed; read by Claude, verified by the meter owner 2026-09-25
2023-06-11T12:15:00+02:00;0.32;human;label overlaps the daily-total box, OCR failed; read by Claude, verified by the meter owner 2026-09-25
2023-06-18T12:15:00+02:00;0.32;human;label overlaps the daily-total box, OCR failed; read by Claude, verified by the meter owner 2026-09-25
2023-07-08T12:15:00+02:00;0.40;human;label overlaps the daily-total box, OCR failed; read by Claude, verified by the meter owner 2026-09-25
2023-07-15T12:15:00+02:00;0.37;human;label overlaps the daily-total box, OCR failed; read by Claude, verified by the meter owner 2026-09-25
2023-07-23T12:15:00+02:00;0.40;human;label overlaps the daily-total box, OCR failed; read by Claude, verified by the meter owner 2026-09-25
2023-08-11T12:15:00+02:00;0.32;human;label overlaps the daily-total box, OCR failed; read by Claude, verified by the meter owner 2026-09-25
2023-08-12T12:15:00+02:00;0.32;human;label overlaps the daily-total box, OCR failed; read by Claude, verified by the meter owner 2026-09-25
2023-08-13T12:15:00+02:00;0.32;human;label overlaps the daily-total box, OCR failed; read by Claude, verified by the meter owner 2026-09-25
2023-08-16T12:15:00+02:00;0.34;human;label overlaps the daily-total box, OCR failed; read by Claude, verified by the meter owner 2026-09-25
2023-08-18T12:15:00+02:00;0.34;human;label overlaps the daily-total box, OCR failed; read by Claude, verified by the meter owner 2026-09-25
2023-08-20T06:15:00+02:00;0.34;human;label overlaps the daily-total box, OCR failed; read by Claude, verified by the meter owner 2026-09-25
